Unit 5-1,sea turtle,ウミガメ
Unit 6-1,prop,小道具
Unit 6-1,ball,ボール、球
Unit 6-1,towel,タオル、手拭い
Unit 6-1,cushion,クッション、ざぶとん
Unit 6-1,T-shirt,Tシャツ
Unit 6-1,sweater,セーター
Unit 6-1,pants,[複数あつかい]ズボン
Unit 6-1,clothes,[複数あつかい]衣服
Unit 6-1,fine,(人が)元気な
Unit 6-1,fast,速い
Unit 6-1,slow,遅い
Unit 6-1,casual,カジュアルな、くだけた、ふだん着の
Unit 6-1,careful,注意深い
Unit 6-1,large,多い、多数の
Unit 6-1,crowded,こみ合った、満員の
Unit 6-1,different,いろいろな
Unit 6-1,mine,私のもの
Unit 6-1,yours,あなた(たち)のもの
Unit 6-1,his,彼のもの
Unit 6-1,hers,彼女のもの
Unit 6-1,theirs,彼ら[彼女ら、それら]のもの
Unit 6-1,whose,だれの、だれのもの
Unit 6-1,which,どちら、どれ、どちらの[人もの]
Unit 6-1,everything,何でも、全てのもの[こと]
Unit 6-1,king,王、国王
Unit 6-1,queen,女王、王妃
Unit 6-1,history,歴史
Unit 6-1,problem,問題
Unit 6-1,question,質問、疑問
Unit 6-1,homework,宿題
Unit 6-1,dictionary,辞書
Unit 6-1,social studies,社会科
Unit 6-1,show,ショー
Unit 6-1,role,役、役割
Unit 6-1,drama,劇
Unit 6-1,ticket,切符、チケット
Unit 6-1,collection,収集したもの、コレクション
Unit 6-1,performer,演技者
Unit 6-1,comedian,コメディアン
Unit 6-1,school festival,文化祭
Unit 6-2,say,(…を)言う、…だと言う
Unit 6-2,use,…を使う、利用する、消費する
Unit 6-2,wear,…を着ている、身につけている
Unit 6-2,wait,待つ
Unit 6-2,start,始まる、出発する、開始する
Unit 6-2,play,(役)を演じる
Unit 6-2,open,(…を)開く、あける
Unit 6-2,close,…を閉じる、終える
Unit 6-2,clock,置き[かけ]時計
Unit 6-2,watch,腕時計、懐中時計
Unit 6-2,moment,瞬間、ちょっとの間
Unit 6-2,minute,[時間の単位の]分
Unit 6-2,morning,朝、午前
Unit 6-2,afternoon,午後
Unit 6-2,night,夜、晩
Unit 6-2,weekend,週末
Unit 6-2,sure,[返事で]もちろん、いいとも
Unit 6-2,still,まだ、今でも
Unit 6-2,only,ただ…だけ
Unit 6-2,just,ただ…だけ、ほんの、ちょっと
Unit 6-2,a little,少し
Unit 6-2,maybe,たぶん、もしかすると
Unit 6-2,together,いっしょに、ともに
Unit 6-2,sometimes,ときどき
Unit 6-2,bath,入浴
Unit 6-2,light,明かり、電灯
Unit 6-2,window,窓
Unit 6-2,desk,つくえ
Unit 6-2,glass,コップ、グラス
Unit 6-2,dish,皿
Unit 6-2,camera,カメラ
Unit 6-2,computer,コンピュータ
Unit 6-2,body,体
Unit 6-2,face,顔
Unit 6-2,eye,目
Unit 6-2,ear,耳
Unit 6-2,arm,うで
Unit 6-2,hand,手
Unit 6-2,toe,足の指
Unit 6-2,shoulder,肩
Unit 7-1,dad,お父さん
Unit 7-1,mom,お母さん
Unit 7-1,uncle,おじ、おじさん
Unit 7-1,aunt,おば、おばさん
Unit 7-1,family,一族
Unit 7-1,man,男性、男の人
Unit 7-1,woman,女性、女の人
Unit 7-1,people,人々
Unit 7-1,appear,現れる、姿を現す
Unit 7-1,buy,…を買う
Unit 7-1,see,…に会う
Unit 7-1,take,(写真など)をとる
Unit 7-1,talk,話す、しゃべる
Unit 7-1,help,…を手伝う、助ける、…の役に立つ
Unit 7-1,wash,(…を)洗う
Unit 7-1,brush,…をみがく
Unit 7-1,busy,いそがしい
Unit 7-1,free,ひまな
Unit 7-1,dark,暗い
Unit 7-1,angry,おこった、腹を立てた
Unit 7-1,late,遅い、おくれた、遅刻した
Unit 7-1,quiet,静かな
Unit 7-1,funny,おかしいな
Unit 7-1,exciting,興奮させるような
Unit 7-1,top,表面、上部
Unit 7-1,front,前、正面
Unit 7-1,here,ここ
Unit 7-1,home,故郷
Unit 7-1,city,市、都市、都会
Unit 7-1,place,場所、ところ
Unit 7-1,palace,宮殿、王宮
Unit 7-1,market,市場
Unit 7-1,music,音楽
Unit 7-1,drum,ドラム、たいこ
Unit 7-1,piano,ピアノ
Unit 7-1,recorder,リコーダー
Unit 7-1,violin,バイオリン
Unit 7-1,guitar,ギター
Unit 7-1,triangle,トライアングル
Unit 7-1,harmonica,ハーモニカ
Unit 7-2,spot,地点、場所
Unit 7-2,street,通り、街路
Unit 7-2,building,建物、ビル
Unit 7-2,museum,博物館、美術館
Unit 7-2,factory,工場
Unit 7-2,hospital,病院
Unit 7-2,station,駅
Unit 7-2,post office,郵便局
Unit 7-2,over,…より多く、…をこえて
Unit 7-2,under,…の下に[で]、…のもとに
Unit 7-2,near,…の近くに[で]
Unit 7-2,along,…に沿って
Unit 7-2,around,…のまわりを回って
Unit 7-2,left,左に[へ]、左側に
Unit 7-2,right,右に[へ]、右側に
Unit 7-2,straight,まっすぐに
Unit 7-2,hello,(電話で)もしもし
Unit 7-2,sorry,すまなく思って
Unit 7-2,please,どうぞ、お願いします、すみませんが
Unit 7-2,welcome,ようこそ、いらっしゃい
Unit 7-2,plan,計画、予定
Unit 7-2,day,日、1日
Unit 7-2,now,今、現在は、今では、今すぐ
Unit 7-2,tomorrow,明日(は)
Unit 7-2,nice,すてきな、よい
Unit 7-2,cute,かわいい
Unit 7-2,cool,かっこいい
Unit 7-2,warm,あたたかい
Unit 7-2,cold,冷たい、寒い
Unit 7-2,humid,しめった、湿気の多い
Unit 7-2,large,大きい、広い
Unit 7-2,online,オンラインの
Unit 7-2,listen,聞く、耳をかたむける
Unit 7-2,mean,…を意味する、…のことを言う
Unit 7-2,know,(…を)知っている、わかる
Unit 7-2,run,走る、運行している
Unit 7-2,turn,向く、曲がる
Unit 7-2,travel,旅行する
Unit 7-2,wake,目が覚める
Unit 7-2,get up,起きる、起床する
Unit 8-1,map,地図
Unit 8-1,village,村
Unit 8-1,world,世界
Unit 8-1,country,国
Unit 8-1,Africa,アフリカ
Unit 8-1,Japan,日本
Unit 8-1,Kenya,ケニア
Unit 8-1,New Zealand,ニュージーランド
Unit 8-1,pie,パイ
Unit 8-1,soup,スープ
Unit 8-1,salad,サラダ
Unit 8-1,dessert,デザート
Unit 8-1,steak,ステーキ
Unit 8-1,curry,カレー(料理)
Unit 8-1,spaghetti,スパゲッティ
Unit 8-1,rice ball,おにぎり
Unit 8-1,all,全ての、全部の
Unit 8-1,any,[疑問文などで]いくらかの、何らかの
Unit 8-1,some,一部の、(中には)…もある
Unit 8-1,other,(2つの中で)もう1つ[一方]の
Unit 8-1,round,丸い、球形の
Unit 8-1,clean,きれいな、清潔な
Unit 8-1,reusable,再利用できる
Unit 8-1,plastic,プラスチック[ビニール]製の
Unit 8-1,best,最もよいもの、最良の状態
Unit 8-1,need,困っている状態、貧困
Unit 8-1,help,援助、助け
Unit 8-1,luck,運、幸運
Unit 8-1,time,時間、ひま
Unit 8-1,money,金、通貨
Unit 8-1,waste,ごみ、廃棄物
Unit 8-1,garbage,生ごみ、ごみ
Unit 8-1,marker,マーカー(ペン)
Unit 8-1,crayon,クレヨン
